feedback_id,client_name,service_type,feedback_text,rating,timestamp,cleaned_text,compound_score,vader_pos,vader_neu,vader_neg,textblob_polarity,textblob_subjectivity,category,sentiment_label
FB-001,Apex FinTech,Vulnerability Assessment,The VAPT team delivered an exceptional penetration testing report. Critical flaws were identified before our production launch.,5,2026-08-01,The VAPT team delivered an exceptional penetration testing report. Critical flaws were identified before our production launch.,-0.0576,0.0,0.874,0.126,0.3333,0.9,Negative,Negative (Needs Attention)
FB-002,HealthGuard Systems,Cloud Security Audit,SafeX cloud architects secured our AWS infrastructure with outstanding professionalism and deep compliance knowledge.,5,2026-08-01,SafeX cloud architects secured our AWS infrastructure with outstanding professionalism and deep compliance knowledge.,0.563,0.358,0.642,0.0,0.25,0.6375,Positive,Positive (Satisfied)
FB-003,Nova Retail Corp,Web Application Security,"The assessment was standard. The findings were adequate, but the final executive summary lacked detailed remediation guidance.",3,2026-08-02,"The assessment was standard. The findings were adequate, but the final executive summary lacked detailed remediation guidance.",0.1426,0.083,0.917,0.0,0.1833,0.5208,Positive,Positive (Satisfied)
FB-004,Urban Bank,SOC & SIEM Monitoring,Disastrous experience. The automated rules failed to catch simulated brute-force attacks and communication was completely unresponsive.,1,2026-08-02,Disastrous experience. The automated rules failed to catch simulated brute-force attacks and communication was completely unresponsive.,-0.6734,0.0,0.563,0.437,-0.3667,0.5,Negative,Negative (Needs Attention)
FB-005,Horizon Logistics,Network Penetration Testing,Superb engagement! The team demonstrated real-world lateral movement and provided practical mitigations for our domain controllers.,5,2026-08-03,Superb engagement! The team demonstrated real-world lateral movement and provided practical mitigations for our domain controllers.,0.8873,0.346,0.654,0.0,1.0,1.0,Positive,Positive (Satisfied)
FB-006,EduLearn Global,API Security Assessment,"The API test was completed on schedule. No major critical issues were found, but delivery met the baseline SLA terms.",3,2026-08-03,"The API test was completed on schedule. No major critical issues were found, but delivery met the baseline SLA terms.",0.0071,0.077,0.848,0.075,-0.0156,0.65,Neutral,Neutral (Standard)
FB-007,Prime Health Tech,Source Code Review,Unacceptable quality. The static analysis report was full of false positives and the analyst showed lack of understanding in modern framework security.,1,2026-08-04,Unacceptable quality. The static analysis report was full of false positives and the analyst showed lack of understanding in modern framework security.,0.1418,0.199,0.619,0.182,0.1625,0.5875,Positive,Positive (Satisfied)
FB-008,Skyline Media,Red Team Assessment,Impressive social engineering simulation. Our security team learned valuable operational insights from the exercise.,5,2026-08-04,Impressive social engineering simulation. Our security team learned valuable operational insights from the exercise.,0.7056,0.444,0.556,0.0,0.5167,0.5333,Positive,Positive (Satisfied)
FB-009,SwiftPay Solutions,Compliance & ISO 27001,Consulting met expectations. Standard templates were provided as agreed upon in the statement of work.,3,2026-08-05,Consulting met expectations. Standard templates were provided as agreed upon in the statement of work.,0.2732,0.13,0.87,0.0,0.0,0.0,Positive,Positive (Satisfied)
FB-010,Vortex Defense,Incident Response,Extremely disappointed. Incident response team arrived late during a mock breach exercise and lost critical forensic logs.,1,2026-08-05,Extremely disappointed. Incident response team arrived late during a mock breach exercise and lost critical forensic logs.,-0.6612,0.0,0.546,0.454,-0.35,0.7167,Negative,Negative (Needs Attention)
FB-011,Crestline Analytics,Web Application Security,Solid work on our web portal. Identified a severe IDOR flaw that could have led to severe data leakage.,4,2026-08-06,Solid work on our web portal. Identified a severe IDOR flaw that could have led to severe data leakage.,-0.5574,0.07,0.702,0.228,0.0,0.1,Negative,Negative (Needs Attention)
FB-012,NextGen Telecom,Threat Modeling,The threat modeling workshop was informative and gave our software engineers clear guidelines for secure coding.,4,2026-08-06,The threat modeling workshop was informative and gave our software engineers clear guidelines for secure coding.,0.1919,0.234,0.607,0.159,0.25,0.4917,Positive,Positive (Satisfied)
FB-013,AeroDynamics Ltd,IoT Security Testing,Hardware firmware testing went as expected. Delivered report according to standard protocols without any surprises.,3,2026-08-07,Hardware firmware testing went as expected. Delivered report according to standard protocols without any surprises.,-0.1695,0.0,0.894,0.106,-0.05,0.2,Negative,Negative (Needs Attention)
FB-014,Beacon Capital,Mobile App Security,Outstanding assessment of our iOS and Android banking applications. High-level technical expertise was on full display.,5,2026-08-07,Outstanding assessment of our iOS and Android banking applications. High-level technical expertise was on full display.,0.4808,0.211,0.789,0.0,0.2833,0.5083,Positive,Positive (Satisfied)
FB-015,Alpha E-Commerce,Vulnerability Assessment,Very poor customer service. Delayed the final re-test verification report by over two weeks with zero proactive updates.,2,2026-08-08,Very poor customer service. Delayed the final re-test verification report by over two weeks with zero proactive updates.,-0.3198,0.121,0.65,0.229,-0.26,0.89,Negative,Negative (Needs Attention)
